MaKH	Tienmua	Thangqua	Thangnay
1	37400	1	0
2	52800	1	0
3	35200	0	0
4	64900	0	0
5	41800	1	0
6	40700	0	1
7	39600	0	0
8	116600	1	0
9	19800	1	1
10	55000	0	0
11	35200	1	0
12	53900	0	1
13	25300	0	0
14	35200	0	1
15	111100	1	0
16	106700	1	0
17	22000	0	0
18	57200	1	0
19	48400	0	0
20	105600	0	1
21	36300	0	0
22	48400	0	0
23	35200	0	0
24	34100	0	0
25	82500	0	1
26	23100	0	0
27	66000	1	1
28	34100	0	1
29	27500	0	0
30	36300	0	1
31	18700	0	0
32	48400	1	0
33	88000	1	1
34	88000	0	0
35	102300	0	0
36	33000	1	0
37	17600	1	0
38	113300	1	1
39	18700	0	0
40	31900	0	0
41	53900	0	0
42	30800	0	0
43	27500	1	0
44	17600	0	0
45	58300	0	0
46	35200	0	0
47	25300	1	0
48	75900	0	0
49	71500	1	1
50	66000	1	1
51	17600	1	1
52	39600	0	0
53	72600	0	0
54	56100	1	1
55	27500	1	0
56	34100	1	1
57	38500	1	1
58	91300	0	0
59	55000	0	1
60	55000	1	1
61	78100	1	1
62	27500	0	1
63	48400	1	0
64	34100	0	0
65	38500	0	1
66	113300	1	0
67	37400	0	0
68	57200	1	1
69	53900	0	0
70	34100	0	0
71	44000	1	1
72	38500	1	0
73	30800	1	0
74	44000	1	1
75	102300	1	1
76	56100	1	1
77	99000	0	1
78	116600	1	1
79	53900	1	1
80	35200	1	0
81	91300	1	1
82	99000	1	1
83	39600	1	0
84	66000	1	0
85	35200	0	1
86	111100	1	1
87	106700	1	1
88	39600	1	0
89	78100	1	1
90	105600	1	0
91	18700	1	0
92	31900	1	1
93	81400	1	1
94	100100	1	1
95	23100	1	0
96	55000	0	0
97	39600	1	0
98	100100	0	0
99	42900	1	0
100	56100	0	1
