Data	Group
35	Nhom1
40	Nhom1
29	Nhom1
36	Nhom1
37	Nhom1
34	Nhom1
38	Nhom1
46	Nhom1
48	Nhom1
41	Nhom1
50	Nhom1
49	Nhom1
41	Nhom1
26	Nhom1
24	Nhom1
43	Nhom1
49	Nhom1
49	Nhom1
42	Nhom1
48	Nhom1
49	Nhom1
56	Nhom1
52	Nhom1
60	Nhom1
59	Nhom1
58	Nhom1
51	Nhom1
62	Nhom1
65	Nhom1
70	Nhom1
41	Nhom2
46	Nhom2
22	Nhom2
14	Nhom2
20	Nhom2
53	Nhom2
24	Nhom2
12	Nhom2
49	Nhom2
24	Nhom2
16	Nhom2
47	Nhom2
24	Nhom2
52	Nhom2
53	Nhom2
27	Nhom2
42	Nhom2
30	Nhom2
56	Nhom2
12	Nhom2
16	Nhom2
34	Nhom2
10	Nhom2
12	Nhom2
52	Nhom2
32	Nhom2
39	Nhom2
30	Nhom2
51	Nhom2
14	Nhom2
