y	a1	a2	a3	a4
12177	5218	1800	6145	428
12166	4979	2360	6855	378
11459	4931	2280	6034	298
12279	5452	2360	6628	272
11718	5010	2120	6116	428
12329	4655	2280	7344	287
12285	5351	1840	6028	334
12768	5846	2200	6345	404
12219	5598	2280	6626	261
11642	5141	1960	5673	349
13277	5997	1800	6673	248
13619	5491	1840	7237	376
11225	5432	2240	5324	265
13085	5284	2120	7101	328
12680	5310	2120	7174	250
10336	4587	2320	5551	308
11523	5518	2160	5674	295
10739	4448	1880	5738	296
12187	5890	2200	6107	359
12168	4933	1720	6386	443
12448	4851	1960	6822	372
13332	4874	1840	7500	330
11898	4961	1920	6172	391
10812	4738	2320	6064	276
12297	4854	2120	7174	340
10690	4971	2280	5622	238
12738	5955	1960	6103	287
12521	5089	2360	7015	410
11685	4581	2200	6932	292
12686	4655	2160	7552	252
12713	4769	1960	7543	259
10607	4675	2160	5410	310
12802	5015	2200	7318	375
11364	5319	1880	5526	390
10734	4679	2280	5582	315
11189	4567	2200	6393	359
11158	4581	1800	5925	316
11968	5150	2120	6191	343
12290	5851	1920	5752	267
11587	5517	2320	5774	296
11415	4791	2280	6237	377
13599	5411	2160	7550	335
12960	5650	2320	6830	368
10870	4963	2320	5776	441
13326	5189	1800	7484	270
10832	4449	2200	6133	399
12448	4789	1920	7169	401
12818	4764	1800	7283	287
10506	4626	2200	5533	375
12757	5538	2120	6851	408
10929	5114	2200	5489	263
11454	5565	2240	5789	302
11273	4761	1760	5544	410
11768	5566	2120	5990	301
11526	4858	1840	6249	253
11562	5180	1920	5848	322
11617	4675	1920	6241	338
12000	5502	1920	5697	291
10574	4421	1920	5651	296
11238	5386	2160	5636	242
11651	4750	1800	6227	222
12946	5219	1800	7120	283
11979	4537	1800	6570	449
12651	5495	2360	7065	422
11194	4997	2200	5888	308
10552	4646	2280	5323	452
12393	5553	1960	6167	335
13905	5896	1840	7441	360
12843	4848	2360	7786	385
12626	5739	1760	5900	400
13639	5264	1800	7423	332
10791	4652	2160	5715	333
12414	5398	1800	6357	294
11929	5147	1760	6124	275
11621	4808	2320	6774	314
11590	5597	1920	5400	252
12217	4604	1840	6977	328
12671	5117	2320	7150	315
12336	5604	2320	6409	358
12940	5712	1720	6435	338
11061	4701	1920	5502	340
12884	5388	2120	7098	349
12674	5106	2160	7323	357
11366	5344	2320	5870	340
13187	5013	1960	7236	416
11617	4630	1880	6335	338
13450	6019	2240	7107	350
13885	5706	1880	7408	447
11571	4897	2200	6295	303
11386	5142	2320	5943	338
11952	4871	1880	6147	386
12049	4686	1760	6307	329
11782	4575	1800	6103	450
11472	5567	2360	5519	270
12429	4825	1880	6981	444
